num,lib name,part,desc
1,7seg(LED).SchLib,7SEG_2DIGIT_CC_RED_0.3INCH_10,"7SEGMENT, 2DIGIT, common cathode"
2,7seg(LED).SchLib,7SEG_2DIGIT_CA_GRN_0.3INCH_10,"7SEGMENT, 2DIGIT, common cathode"
3,7seg(LED).SchLib,7SEG_2DIGIT_CC_RED_0.56inch,"7SEGMENT, 2DIGIT, common cathode"
4,7seg(LED).SchLib,7SEG_2DIGIT_CC_GRN_0.56inch,"7SEGMENT, 2DIGIT, common cathode"
5,7seg(LED).SchLib,7SEG_2DIGIT_CA_RED_0.56inch,"7SEGMENT, 2DIGIT, common Anode"
6,7seg(LED).SchLib,7SEG_2DIGIT_CA_GRN_0.56inch,"7SEGMENT, 2DIGIT, common Anode"
7,7seg(LED).SchLib,7SEG_2DIGIT_CC_RED_0.2INCH,"7SEGMENT, 2DIGIT, common cathode"
8,7seg(LED).SchLib,7SEG_2DIGIT_CC_GRN_0.2INCH,"7SEGMENT, 2DIGIT, common cathode"
9,7seg(LED).SchLib,7SEG_2DIGIT_CA_YLW_0.3INCH,"7SEGMENT, 2DIGIT, common Anode"
10,7seg(LED).SchLib,7SEG_2DIGIT_CA_RED_0.3INCH,"7SEGMENT, 2DIGIT, common Anode"
11,7seg(LED).SchLib,7SEG_2DIGIT_CA_RED_0.2INCH,"7SEGMENT, 2DIGIT, common cathode"
12,7seg(LED).SchLib,7SEG_2DIGIT_CA_GRN_0.3INCH,"7SEGMENT, 2DIGIT, common Anode"
13,7seg(LED).SchLib,7SEG_2DIGIT_CA_GRN_0.2INCH,"7SEGMENT, 2DIGIT, common Anode"
14,7seg(LED).SchLib,7SEG_2DIGIT_CA_BLU_0.3INCH,"7SEGMENT, 2DIGIT, common Anode"
15,7seg(LED).SchLib,7SEG_2DIGIT_CA_BLU_0.2INCH,"7SEGMENT, 2DIGIT, common Anode"
16,7seg(LED).SchLib,7SEG_1DIGIT_CA_0.3INCH_8P,"7SEGMENT, 1DIGIT, common anode, 8pin"
17,7seg(LED).SchLib,7SEG_1DIGIT_CA_RED_5INCH,"7SEGMENT, 1DIGIT, common ANODE"
18,7seg(LED).SchLib,7SEG_4DIGIT_CC_0.28INCH,"7SEGMENT, 4DIGIT, common cathode 0.28"""
19,7seg(LED).SchLib,7SEG_4DIGIT_CA_0.28INCH,"7SEGMENT, 4DIGIT, common Anode 0.28"""
20,7seg(LED).SchLib,7SEG_1DIGIT_CC_GRN_7MM,"7SEGMENT, 1DIGIT, common cathode"
21,7seg(LED).SchLib,7SEG_1DIGIT_CC_0.4INCH,"7SEGMENT, 1DIGIT, common cathode"
22,7seg(LED).SchLib,7SEG_1DIGIT_CC_0.3INCH,"7SEGMENT, 1DIGIT, common cothode"
23,7seg(LED).SchLib,7SEG_1DIGIT_CA_YLW_7MM,"7SEGMENT, 1DIGIT, common ANODE"
24,7seg(LED).SchLib,7SEG_1DIGIT_CA_RED_7MM,"7SEGMENT, 1DIGIT, common ANODE"
25,7seg(LED).SchLib,7SEG_1DIGIT_CA_GRN_7MM,"7SEGMENT, 1DIGIT, common ANODE"
26,7seg(LED).SchLib,7SEG_1DIGIT_CA_0.4INCH,"7SEGMENT, 1DIGIT, common Anode"
27,7seg(LED).SchLib,7SEG_1DIGIT_CA_0.3INCH,"7SEGMENT, 1DIGIT, common anode"
28,7seg(LED).SchLib,7SEG_3DIGIT_CC_5631,"7SEGMENT, 3DIGIT, common cathode"
29,7seg(LED).SchLib,7SEG_3DIGIT_CC_2831,"7SEGMENT, 3DIGIT, common cathode"
30,7seg(LED).SchLib,7SEG_1DIGIT_CC_5611,"7SEGMENT, 1DIGIT, common cathode"
31,7seg(LED).SchLib,7SEG_4DIGIT_CK_CC,"7SEGMENT, 4DIGIT, common cathode 5641 for clock"
32,7seg(LED).SchLib,7SEG_4DIGIT_CC,"7SEGMENT, 4DIGIT, common cathode 5641"
33,7seg(LED).SchLib,7SEG_2DIGIT_CC,"7SEGMENT, 2DIGIT, common cathode"
34,adc.SchLib,ADS1115_VSSOP10,"ADC, 16-BIT, 4-CH, 0.86KSPS, I2C, with PGA"
35,adc.SchLib,ADS1113_VSSOP10,"ADC, 16-BIT, 1-CH, 0.86KSPS, I2C"
36,adc.SchLib,ADS1113_X2QFN10,"ADC, 16-BIT, 1-CH, 0.86KSPS, I2C"
37,adc.SchLib,ADS1114_VSSOP10,"ADC, 16-BIT, 1-CH, 0.86KSPS, I2C, with PGA"
38,adc.SchLib,ADS1114_X2QFN10,"ADC, 16-BIT, 1-CH, 0.86KSPS, I2C, with PGA"
39,adc.SchLib,ADS1115_X2QFN10,"ADC, 16-BIT, 4-CH, 0.86KSPS, I2C, with PGA"
40,adc.SchLib,TLA2024_X2QFN10,"ADC, 12-BIT, 4-CH, 3.3KSPS, I2C"
41,adc.SchLib,AD7291_QFN20,"ADC, 12-Bit, 8-Ch, SAR, I2C, + temp sensor"
42,adc.SchLib,ADC0804IN_DIP20,"ADC, 8-Bit ,Differential Inputs"
43,adc.SchLib,LTC1293_SOP16W,"ADC, 6-CH differential"
44,adc.SchLib,ADS7816_SOP8,"ADC, 12-bit, 200kHz"
45,adc.SchLib,ADC0838_SOP20W,"ADC, 8-Bit, 8CH, SERIAL IO"
46,adc.SchLib,MAX187_DIP8,"ADC, 12-bit, SERIAL, 75Ksps"
47,adc_audio.SchLib,PCM4220,"IC ADC AUDIO, 2 CH, 24-BIT, 216KHz, 112dB"
48,adc_audio.SchLib,PCM4201,"IC ADC AUDIO, 1 CH, 24-BIT, 108KHz, 112dB"
49,adc_audio.SchLib,CS5381,"IC ADC AUDIO, 2 CH, 24-BIT, 192KHz, 120dB"
50,adc_audio.SchLib,WM8782_SSOP20,IC ADC/AUDIO 24BIT 192K
51,adc_audio.SchLib,CS5368,"IC ADC AUDIO, 8 CH, 24-BIT, 192KHz, 114dB"
52,adc_audio.SchLib,CS5340,"IC ADC AUDIO, 2 CH, 24-BIT, 192KHz, 101dB"
53,adc_highspeed.SchLib,AD9689_BGA196_2.6G,"ADC, 14-Bit, 2.6Gsps, Dual, JESD204B"
54,adc_highspeed.SchLib,AD9695-1300_QFN64,"ADC, 14-Bit, 1300MSPS, 2CH, JESD204B"
55,adc_highspeed.SchLib,AD9656-125_QFN56,"ADC, 16-Bit, 125Msps, 4CH, JESD204B"
56,adc_highspeed.SchLib,AD9695-625_QFN64,"ADC, 14-Bit, 625MSPS, 2CH, JESD204B"
57,adc_highspeed.SchLib,AD9689_BGA196_2G,"ADC, 14-Bit, 2Gsps, Dual, JESD204B"
58,adc_highspeed.SchLib,AD9642-250_QFN32,"ADC, 14-Bit, 250MSPS, Parallel LVDS, 1.8V, QFN-32"
59,adc_highspeed.SchLib,AD9642-170_QFN32,"ADC, 14-Bit, 170MSPS, Parallel LVDS, 1.8V, QFN-32"
60,adc_highspeed.SchLib,ADS42LB69_QFN64,"ADC, 16-Bit, 250MSPS, 2CH, Parallel LVDS, QDR, QFN-64"
61,adc_highspeed.SchLib,AD9649-80_QFN32,"ADC, 14-Bit, 80MSPS, Parallel LVDS, 1.8V, QFN-32"
62,adc_highspeed.SchLib,LTC2208_QFN64,"ADC, 16-BIT, 130MSPS, 700MHz BW"
63,adc_highspeed.SchLib,ADS4249_QFN64,"ADC, 14-Bit, 250MSPS, 2CH, Parallel LVDS, 1.8V, QFN-64"
64,adc_highspeed.SchLib,ADS4246_QFN64,"ADC, 14-Bit, 160MSPS, 2CH, Parallel LVDS, 1.8V, QFN-64"
65,adc_highspeed.SchLib,ADS4245_QFN64,"ADC, 14-Bit, 125MSPS, 2CH, Parallel LVDS, 1.8V, QFN-64"
66,adc_highspeed.SchLib,ADS4242_QFN64,"ADC, 14-Bit, 65MSPS, 2CH, Parallel LVDS, 1.8V, QFN-64"
67,adc_highspeed.SchLib,ADS4226_QFN64,"ADC, 12-Bit, 160MSPS, 2CH, Parallel LVDS, 1.8V, QFN-64"
68,adc_highspeed.SchLib,ADS4128_QFN48,"ADC, 12-Bit, 200MSPS, Parallel LVDS, 1.8V, QFN-48"
69,adc_highspeed.SchLib,AD9208_BGA196,"ADC, 14-Bit, 3Gsps, Dual, JESD204B"
70,adc_highspeed.SchLib,AD9257_QFN64,"ADC, 14-Bit, 40/65MSPS, 8CH, Serial LVDS, 1.8V, QFN-64"
71,adc_precision.SchLib,ADS131M04_TSSOP20,"ADC, 24-Bit, 4-Channel, Simultaneous, Delta-Sigma"
72,adc_precision.SchLib,ADS8688_TSSOP38,"ADC, 16-Bit, 500-kSPS, SAR, 8-Channel, Single-Supply, Bipolar Input"
73,adc_precision.SchLib,ADS131M04_QFN20,"ADC, 24-Bit, 4-Channel, Simultaneous, Delta-Sigma"
74,adc_precision.SchLib,MAX11046_QFP64,"ADC, 16-bit, 8CH, 250 kSps, SAR"
75,adc_precision.SchLib,ADS8887_VSSOP10,"ADC, 18-bit, 100ksps, SAR"
76,adc_precision.SchLib,ADS8325_VSSOP8,"ADC, 16-bit, 100ksps, SAR"
